Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
223300089,Slow Gods,Claire North,"North, Claire",,"=""031658634X""","=""9780316586344""",0,Orbit,Kindle Edition,424,2025,2025,,2025/09/01,currently-reading,currently-reading (#4),currently-reading,,,,1,0
223097586,The Mighty Red,Louise Erdrich,"Erdrich, Louise",,"=""0063277077""","=""9780063277076""",0,Harper Perennial,Paperback,372,2025,2024,,2025/09/30,to-read,to-read (#2509),to-read,,,,0,0
222376601,Spread Me,Sarah Gailey,"Gailey, Sarah",,"=""1250387337""","=""9781250387332""",0,Tor Nightfire,Hardcover,197,2025,2025,,2025/09/29,to-read,to-read (#2508),to-read,,,,0,0
18869970,My Cousin Rachel,Daphne du Maurier,"Maurier, Daphne du",,"=""0316252964""","=""9780316252966""",0,"Little, Brown and Company",Kindle Edition,349,2013,1951,,2025/09/29,to-read,to-read (#2507),to-read,,,,0,0
224003977,Widow's Point: The Complete Haunting,Richard Chizmar,"Chizmar, Richard",W.H. Chizmar,"=""1668057700""","=""9781668057704""",0,Gallery Books,Hardcover,336,2025,2025,,2025/09/29,to-read,to-read (#2506),to-read,,,,0,0
222218937,"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,"Grann, David",,"=""0307742490""","=""9780307742490""",0,Vintage,Paperback,432,2025,2023,,2025/09/29,to-read,to-read (#2505),to-read,,,,0,0
15694,The First Man,Albert Camus,"Camus, Albert",David Hapgood,"=""0783816014""","=""9780783816012""",0,G K Hall & Co,Hardcover,359,1996,1994,,2025/09/28,to-read,to-read (#2504),to-read,,,,0,0
57460,Jayber Crow,Wendell Berry,"Berry, Wendell",,"=""1582431604""","=""9781582431604""",0,Counterpoint,Paperback,363,2001,2000,,2025/09/28,to-read,to-read (#2503),to-read,,,,0,0
456977,Niels Lyhne,Jens Peter Jacobsen,"Jacobsen, Jens Peter",Hanna Astrup Larsen,"=""1598183451""","=""9781598183450""",0,Alan Rodgers Books,Paperback,146,2007,1880,,2025/09/28,to-read,to-read (#2502),to-read,,,,0,0
210223811,Katabasis,R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",3.0,HarperVoyager,Kindle Edition,559,2025,2025,2025/09/28,2024/12/17,,,read,"Hell is not fire and brimstone. Hell is not demons gnashing their teeth. Hell is picking up your most anticipated dark academia release of the year… and realizing you don’t actually love it.<br/><br/>That’s where Katabasis left me: not damned, not destroyed, but slightly disappointed. Kuang’s writing still has plenty of sharpness—her technical, sciencey, and philosophical asides gave me exactly the academic fix I was craving, and when she leans into that mode, the book sings. But somewhere around page 300, the descent faltered. The pacing dragged, the atmosphere thinned, and the promised hell started looking more like a dimly lit waiting room.<br/><br/>What stings most is how much potential the underworld had. The courts of hell should have been dazzlingly strange, grotesque, unique—trials that mirrored their own distinct qualities. Instead, many blended together, bland when they should have been infernal. Kuang seemed to lose steam in imagining what Alice and Peter might face down there.<br/><br/>Meanwhile, the romance stepped up to fill the void. Which is fine—love in hell has its appeal—but their relationship often felt weighed down by artificial conflict, manufactured mistrust, the kind of drama that exists more to keep pages turning than because it feels true.<br/><br/>So no, this wasn’t the triumphant dark descent I’d hoped to buy, shelve, and revisit forever. I’m glad I borrowed it, because I doubt I’ll be rereading it anytime soon. Still, if you’re hungry for a dark academia book with some sharp ideas (and don’t mind a few circles that drag on longer than they should), I’d still say it’s worth a visit.<br/><br/>Because hell isn’t other people—it’s realizing the book you waited for turned out to be just a 3.25/5 stars.<br/><br/>",,,1,0
